DateID,FullDate
2606,2023-11-30
2607,2023-12-01
2608,2023-12-02
2609,2023-12-03
2610,2023-12-04
2611,2023-12-05
2612,2023-12-06
2613,2023-12-07
2614,2023-12-08
2615,2023-12-09
2616,2023-12-10
2617,2023-12-11
2618,2023-12-12
2619,2023-12-13
2620,2023-12-14
2621,2023-12-15
2622,2023-12-16
2623,2023-12-17
2624,2023-12-18
2625,2023-12-19
2626,2023-12-20
2627,2023-12-21
2628,2023-12-22
2629,2023-12-23
2630,2023-12-24
2631,2023-12-25
2632,2023-12-26
2633,2023-12-27
2634,2023-12-28
2635,2023-12-29
2636,2023-12-30
2637,2023-12-31
2638,2024-01-01
2639,2024-01-02
2640,2024-01-03
2641,2024-01-04
2642,2024-01-05
2643,2024-01-06
2644,2024-01-07
2645,2024-01-08
2646,2024-01-09
2647,2024-01-10
2648,2024-01-11
2649,2024-01-12
2650,2024-01-13
2651,2024-01-14
2652,2024-01-15
2653,2024-01-16
2654,2024-01-17
2655,2024-01-18
2656,2024-01-19
2657,2024-01-20
2658,2024-01-21
2659,2024-01-22
2660,2024-01-23
2661,2024-01-24
2662,2024-01-25
2663,2024-01-26
2664,2024-01-27
2665,2024-01-28
2666,2024-01-29
2667,2024-01-30
2668,2024-01-31
2669,2024-02-01
2670,2024-02-02
2671,2024-02-03
2672,2024-02-04
2673,2024-02-05
2674,2024-02-06
2675,2024-02-07
2676,2024-02-08
2677,2024-02-09
2678,2024-02-10
2679,2024-02-11
2680,2024-02-12
2681,2024-02-13
2682,2024-02-14
2683,2024-02-15
2684,2024-02-16
2685,2024-02-17
2686,2024-02-18
2687,2024-02-19
2688,2024-02-20
2689,2024-02-21
2690,2024-02-22
2691,2024-02-23
2692,2024-02-24
2693,2024-02-25
2694,2024-02-26
2695,2024-02-27
2696,2024-02-28
2697,2024-02-29
2698,2024-03-01
2699,2024-03-02
2700,2024-03-03
2701,2024-03-04
2702,2024-03-05
2703,2024-03-06
2704,2024-03-07
2705,2024-03-08
2706,2024-03-09
2707,2024-03-10
2708,2024-03-11
2709,2024-03-12
2710,2024-03-13
2711,2024-03-14
2712,2024-03-15
2713,2024-03-16
2714,2024-03-17
2715,2024-03-18
2716,2024-03-19
2717,2024-03-20
2718,2024-03-21
2719,2024-03-22
2720,2024-03-23
2721,2024-03-24
2722,2024-03-25
2723,2024-03-26
2724,2024-03-27
2725,2024-03-28
2726,2024-03-29
2727,2024-03-30
2728,2024-03-31
2729,2024-04-01
2730,2024-04-02
2731,2024-04-03
2732,2024-04-04
2733,2024-04-05
2734,2024-04-06
2735,2024-04-07
2736,2024-04-08
2737,2024-04-09
2738,2024-04-10
2739,2024-04-11
2740,2024-04-12
2741,2024-04-13
2742,2024-04-14
2743,2024-04-15
2744,2024-04-16
2745,2024-04-17
2746,2024-04-18
2747,2024-04-19
2748,2024-04-20
2749,2024-04-21
2750,2024-04-22
2751,2024-04-23
2752,2024-04-24
